ID_AGENCY;Agency Name;Agency Type
AGG_000407;Stockton;Municipal Police
AGG_000408;San Luis Obispo;Sheriff
AGG_000409;Arroyo Grande;Municipal Police
AGG_000410;Grover Beach;Municipal Police
AGG_000411;Paso Robles;Municipal Police
AGG_000412;Pismo Beach;Municipal Police
AGG_000413;Atascadero;Municipal Police
AGG_000414;San Mateo;Sheriff
AGG_000415;Daly City;Municipal Police
AGG_000416;Millbrae;Municipal Police
AGG_000417;Redwood City;Municipal Police
AGG_000418;San Mateo;Municipal Police
AGG_000419;Foster City;Municipal Police
AGG_000420;East Palo Alto;Municipal Police
AGG_000421;Lompoc;Municipal Police
AGG_000422;Santa Barbara;Municipal Police
AGG_000423;Santa Maria;Municipal Police
AGG_000424;Goleta;Municipal Police
AGG_000425;Santa Clara;Sheriff
AGG_000426;Gilroy;Municipal Police
AGG_000427;San Jose;Municipal Police
AGG_000428;Santa Clara;Municipal Police
AGG_000429;Sunnyvale;Municipal Police
AGG_000430;Santa Cruz;Sheriff
AGG_000431;Santa Cruz;Municipal Police
AGG_000432;Watsonville;Municipal Police
AGG_000433;Shasta;Sheriff
AGG_000434;Redding;Municipal Police
AGG_000435;Suisun City;Municipal Police
AGG_000436;Vacaville;Municipal Police
AGG_000437;Vallejo;Municipal Police
AGG_000438;Sonoma;Sheriff
AGG_000439;Healdsburg;Municipal Police
AGG_000440;Rohnert Park;Municipal Police
AGG_000441;Santa Rosa;Municipal Police
AGG_000442;Petaluma;Municipal Police
AGG_000443;Stanislaus;Sheriff
AGG_000444;Ceres;Municipal Police
AGG_000445;Modesto;Municipal Police
AGG_000446;Oakdale;Municipal Police
AGG_000447;Turlock;Municipal Police
AGG_000448;Sutter;Sheriff
AGG_000449;Yuba City;Municipal Police
AGG_000450;Tehama;Sheriff
AGG_000451;Red Bluff;Municipal Police
AGG_000452;Tulare;Sheriff
AGG_000453;Dinuba;Municipal Police
AGG_000454;Farmersville;Municipal Police
AGG_000455;Porterville;Municipal Police
AGG_000456;Tulare;Municipal Police
AGG_000457;Visalia;Municipal Police
AGG_000458;Woodlake;Municipal Police
AGG_000459;Ventura;Sheriff
AGG_000460;Camarillo;Municipal Police
AGG_000461;Oxnard;Municipal Police
AGG_000462;Port Hueneme;Municipal Police
AGG_000463;Santa Paula;Municipal Police
AGG_000464;Thousand Oaks;Municipal Police
AGG_000465;Ventura;Municipal Police
AGG_000466;Simi Valley;Municipal Police
AGG_000467;Yolo;Sheriff
AGG_000468;West Sacramento;Municipal Police
AGG_000469;Yuba;Sheriff
AGG_000470;Adams;Sheriff
AGG_000471;Aurora;Municipal Police
AGG_000472;Commerce City;Municipal Police
AGG_000473;Thornton;Municipal Police
AGG_000474;Northglenn;Municipal Police
AGG_000475;Arapahoe;Sheriff
AGG_000476;Englewood;Municipal Police
AGG_000477;Littleton;Municipal Police
AGG_000478;Boulder;Sheriff
AGG_000479;Boulder;Municipal Police
AGG_000480;Chaffee;Sheriff
AGG_000481;Delta;Municipal Police
AGG_000482;Douglas;Sheriff
AGG_000483;Castle Rock;Municipal Police
AGG_000484;Parker;Municipal Police
AGG_000485;El Paso;Sheriff
AGG_000486;Colorado Springs;Municipal Police
AGG_000487;Fountain;Municipal Police
AGG_000488;Fremont;Sheriff
AGG_000489;Garfield;Sheriff
AGG_000490;Grand;Sheriff
AGG_000491;Edgewater;Municipal Police
AGG_000492;Durango;Municipal Police
AGG_000493;Larimer;Sheriff
AGG_000494;Trinidad;Municipal Police
AGG_000495;Mesa;Sheriff
AGG_000496;Grand Junction;Municipal Police
AGG_000497;Craig;Municipal Police
AGG_000498;Montrose;Sheriff
AGG_000499;Montrose;Municipal Police
AGG_000500;Fort Morgan;Municipal Police
AGG_000501;La Junta;Municipal Police
AGG_000502;Park;Sheriff
AGG_000503;Pueblo;Municipal Police
AGG_000504;Greeley;Municipal Police
AGG_000505;Johnstown;Municipal Police
AGG_000506;Ault;Municipal Police
AGG_000507;Denver;Municipal Police
AGG_000508;Berlin;Municipal Police
AGG_000509;Branford;Municipal Police
